State,Budget Detail,FY 2008-2009,FY 2009,FY 2009-2010,FY 2010,FY 2010-2011,FY 2011
Colorado,Environmental Agency Budget,"$61,588,869",,"$60,619,938",,"$59,906,708",
Colorado,Status of Budget,Actual Expenditures,,Final,,Adopted (no,
Colorado,% from General Fund,6.70%,,6.40%,,6.40%,
Colorado,"% from Federal Government (e.g., EPA)",40.60%,,32.60%,,31.70%,
Colorado,% from Fees / Other,52.70%,,61.00%,,61.90%,
Florida,Status of Budget,,"SFY 08-09 state
budget adopted",,"SFY 09-10 state
budget adopted",,"SFY 10-11 state
budget adopted"
Florida,% from General Fund,,6.90%,,7.70%,,9.80%
Florida,"% from Federal Government (e.g., EPA)",,7.60%,,18.20%,,9.60%
Florida,% from Fees / Other,,85.50%,,74.10%,,80.60%
Idaho,Status of Budget,,Actual,,Estimated,,Appropriated
Idaho,% from General Fund,,31%,,23%,,25%
Idaho,"% from Federal Government (e.g., EPA)",,60%,,65%,,60%
Idaho,% from Fees / Other,,9%,,12%,,15%
Illinois,Environmental Agency Budget,,"$213,914,319",,"$278,528,325",,"$265,591,300"
Illinois,Status of Budget,,Final spending,,Current,,Proposed
Illinois,% from General Fund,,0.75%,,0.05%,,0%
Illinois,"% from Federal Government (e.g., EPA)",,20.52%,,26.26%,,24.91%
Illinois,% from Fees / Other,,78.73%,,73.69%,,75.09%
Indiana,Status of Budget,,Final,,"Final, as passed;
Excludes Tank
fees",,"Final, as passed;
Excludes Tank
fees"
Indiana,% from General Fund,,27%,,25.90%,,31%
Indiana,"% from Federal Government (e.g., EPA)",,19%,,19%,,21.50%
Indiana,% from Fees / Other,,48%,,48.60%,,48.50%
Iowa,Environmental Agency Budget,,"$46,800,000",,"$52,400,000",,"$51,000,000"
Iowa,Status of Budget,,Approved,,Current,,Budgeted
Iowa,% from General Fund,,15%,,12%,,9%
Iowa,"% from Federal Government (e.g., EPA)",,36%,,39%,,41%
Iowa,% from Fees / Other,,49%,,49%,,50%
Kentucky,Environmental Agency Budget,,"$72,955,642",,"$79,890,900",,"$78,509,400"
Kentucky,Status of Budget,,Final,,Adopted,,"Adopted
(reduction in
General Funds
will likely occur
in FY11)
"
Kentucky,% from General Fund,,29%,,27%,,28%
Kentucky,"% from Federal Government (e.g., EPA)",,30%,,29%,,28%
Kentucky,% from Fees / Other,,41%,,44%,,44%
Maine,Status of Budget,,"Final, as spent",,As enacted,,As enacted
Maine,% from General Fund,,11.60%,,8.90%,,8.90%
Maine,"% from Federal Government (e.g., EPA)",,22.30%,,20.50%,,20.50%
Maine,% from Fees / Other,,66.10%,,70.60%,,70.60%
Maryland,Status of Budget,,Final,,Current,,Current
Maryland,% from General Fund,,16%,,11%,,12%
Maryland,"% from Federal Government (e.g., EPA)",,23%,,17%,,20%
Maryland,% from Fees / Other,,61%,,71%,,68%
Massachusetts,Environmental Agency Budget,,"$113,110,030",,"$101,322,315",,"$91,127,101"
Massachusetts,Status of Budget,,Final,,Final,,Governor's
Massachusetts,% from General Fund,,68.10%,,52.80%,,62.30%
Massachusetts,"% from Federal Government (e.g., EPA)",,28.40%,,38.30%,,34.90%
Massachusetts,% from Fees / Other,,3.50%,,8.90%,,2.80%
Nevada,Environmental Agency Budget,,"$30,589,435",,"$31,634,453",,"$31,639,598"
Nevada,Status of Budget,,Actual,,Legislatively Approved,,Legislatively Approved
Nevada,% from General Fund,,2%,,1%,,1%
Nevada,"% from Federal Government (e.g., EPA)",,37%,,37%,,37%
Nevada,% from Fees / Other,,61%,,62%,,62%
North Carolina,Environmental Agency Budget,,"$492,814,022",,"$340,943,272",,"$361,361,090"
North Carolina,Status of Budget,,Final,,Current,,Proposed
North Carolina,% from General Fund,,54.50%,,32.00%,,39.40%
North Carolina,"% from Federal Government (e.g., EPA)",,29%,,31.80%,,30.20%
North Carolina,% from Fees / Other,,16.50%,,36.20%,,30.40%
Ohio,Environmental Agency Budget,,"$188,166,282",,"$210,681,973",,"$208,330,476"
Ohio,Status of Budget,,Final-Audited,,Current,,Adopted
Ohio,% from General Fund,,0,,0,,0
Ohio,"% from Federal Government (e.g., EPA)",,18%,,18%,,16%
Ohio,% from Fees / Other,,82%,,82%,,84%
Oklahoma,Environmental Agency Budget,,"$55,569,071",,"$67,829,984",,"$68,578,056"
Oklahoma,Status of Budget,,Final,,Current,,Proposed
Oklahoma,% from General Fund,,17.49%,,12.70%,,11.29%
Oklahoma,"% from Federal Government (e.g., EPA)",,25.00%,,35.32%,,39.00%
Oklahoma,% from Fees / Other,,57.51%,,51.98%,,49.71%
Oregon,Environmental Agency Budget,,"$102,567,044",,"$103,198,738",,"$101,980,738"
Oregon,Status of Budget,,Actuals,,Approved,,Approved
Oregon,% from General Fund,,17.50%,,13.75%,,12.70%
Oregon,"% from Federal Government (e.g., EPA)",,13.50%,,17.40%,,17.60%
Oregon,% from Fees / Other,,69.00%,,68.85%,,69.70%
Rhode Island,Environmental Agency Budget,,"$31,900,000",,"$42,300,000",,"$44,300,000"
Rhode Island,Status of Budget,,Final,,Current,,Enacted
Rhode Island,% from General Fund,,51.40%,,36.60%,,37.40%
Rhode Island,"% from Federal Government (e.g., EPA)",,23.40%,,32.60%,,30.20%
Rhode Island,% from Fees / Other,,25.20%,,26.40%,,32.40%
South Dakota,Status of Budget,,"Actual
Expenditures",,Final,,Final
South Dakota,% from General Fund,,43.30%,,36.70%,,36.70%
South Dakota,"% from Federal Government (e.g., EPA)",,40.40%,,42.30%,,42.20%
South Dakota,% from Fees / Other,,16.30%,,21.00%,,21.10%
Tennessee,Status of Budget,,Approved Budget,,Approved Budget,,Proposed Budget
Tennessee,% from General Fund,,14.70%,,12.30%,,12.00%
Tennessee,"% from Federal Government (e.g., EPA)",,11.10%,,15.30%,,12.30%
Tennessee,% from Fees / Other,,74.20%,,72.40%,,75.70%
Texas,Status of Budget,,Active,,Current,,Proposed
Texas,% from General Fund,,1.70%,,2.90%,,3%
Texas,% from Fees / Other,,91.90%,,89.40%,,88.40%
Utah,Status of Budget,,Actual,,Authorized,,Appropriated
Utah,% from General Fund,,29.94%,,18.70%,,20.80%
Utah,"% from Federal Government (e.g., EPA)",,34.63%,,43.92%,,40.03%
Utah,% from Fees / Other,,38.43%,,37.38%,,39.17%
Virginia,Status of Budget,,"Final, Audited",,Current,,Adopted
Virginia,% from General Fund,,14%,,10%,,25%
Virginia,"% from Federal Government (e.g., EPA)",,6%,,7%,,16%
Virginia,% from Fees / Other,,80%,,83%,,59%
Washington,Environmental Agency Budget,,410973094,,549564787,,553182709
Washington,Environmental Agency Budget - Operating,,195774180,,200174780,,203792702
Washington,Environmental Agency Budget - Capital,,215198914,,349390007,,349390007
Washington,Status of Budget,, Actuals,,Enacted,,Enacted
Washington,% from General Fund,,0.22,,0.31,,0.3
Washington,% from General Fund - Operating,,0.16,,0.21,,0.18
